,a,c
0,356950275044671499,
1,579698015502204947,.bal
2,234395307759108106,
3,806280936747565197,-loop
4,806280936747565197,-play 80's
5,270904126974590976,"**BOSS** Good stuff <@579698015502204947>, got the work done well. You were given `⏣ 2,276` for a half hour of work."
6,579698015502204947,Outfit clothing cosplay outfit
7,270904126974590976,<@579698015502204947> Type the words that were displayed before into the chat now!
8,579698015502204947,Pls work
9,356950275044671499,
10,579698015502204947,.work
11,779756976174530581,
12,579698015502204947,+coin
13,730474953190932531,ouch
14,730474953190932531,e
15,356950275044671499,
16,730474953190932531,.bal
17,806280936747565197,Yikes
18,356950275044671499,
19,806280936747565197,.bal flamey
20,433227255326572554,stand
21,433227255326572554,hit
22,356950275044671499,
23,433227255326572554,.bj all
24,433227255326572554,stand
25,779756976174530581,You can claim a coin again in 13 Minutes.
26,433227255326572554,+coin
27,356950275044671499,
28,433227255326572554,.bj all
29,356950275044671499,
30,433227255326572554,.work
31,356950275044671499,
32,433227255326572554,.crime
33,433227255326572554,hit
34,356950275044671499,
35,433227255326572554,.bj all
36,433227255326572554,stand
37,356950275044671499,
38,433227255326572554,.bj all
39,433227255326572554,stand
40,356950275044671499,
41,433227255326572554,.bj all
42,356950275044671499,
43,433227255326572554,.bal
44,806280936747565197,Thank you
45,356950275044671499,
46,769897208383406090,.give <@!806280936747565197> 399999
47,806280936747565197,11 more
48,779756976174530581,
49,806280936747565197,+shop
50,779756976174530581,
51,806280936747565197,+coin
52,270904126974590976,"**BOSS** Good stuff <@806280936747565197>, got the work done well. You were given `⏣ 1,597` for a half hour of work."
53,806280936747565197,Cosplay is a form of art
54,270904126974590976,"**Work for Cosplayer** - Retype - Retype the following phrase below.
Type `C﻿o﻿s﻿p﻿l﻿a﻿y﻿ ﻿i﻿s﻿ ﻿a﻿ ﻿f﻿o﻿r﻿m﻿ ﻿o﻿f﻿ ﻿a﻿r﻿t﻿`"
55,806280936747565197,Pls work
56,356950275044671499,
57,806280936747565197,.lb
58,270904126974590976,
59,365945045527822336,pls rich
60,270904126974590976,"<@365945045527822336> lol you suck, you found nothing"
61,270904126974590976,<@365945045527822336> You went hunting in the woods and brought back a Rabbit 🐇!
62,365945045527822336,pls fish
63,365945045527822336,pls hunt
64,270904126974590976,**Cersei Lannister**: I only give money to hookers
65,365945045527822336,pls beg
66,806280936747565197,Shut up Aki
67,806280936747565197,-join
68,806280936747565197,In
69,806280936747565197,I am 72 hours in the vc
70,806280936747565197,<@!769897208383406090> where is my 400k please
71,730474953190932531,ok
72,769897208383406090,got to chat
73,356950275044671499,
74,491987020491784192,.work
75,491987020491784192,I want pineapple role
76,730474953190932531,e
77,730474953190932531,a
78,356950275044671499,
79,769897208383406090,.work
80,769897208383406090,ok
81,491987020491784192,Nah
82,769897208383406090,<@491987020491784192> want a color role
83,356950275044671499,
84,491987020491784192,.shop
85,356950275044671499,
86,491987020491784192,.cf 6000
87,356950275044671499,
88,491987020491784192,.buy chicken
89,270904126974590976,"<@793523710782865438> **⏣ 4,056** deposited, current bank balance is **⏣ 115,885**."
90,793523710782865438,Pls dep all
91,769897208383406090,want a color?
92,356950275044671499,
93,491987020491784192,.cf 4000
94,356950275044671499,
95,793523710782865438,.bal
96,356950275044671499,
97,491987020491784192,.bal
98,491987020491784192,.ball
99,730474953190932531,i see
100,356950275044671499,
101,491987020491784192,.bal <@769897208383406090>
102,356950275044671499,
103,793523710782865438,.work
104,769897208383406090,look @ color name
105,730474953190932531,ok
106,769897208383406090,nice
107,730474953190932531,wdym
108,769897208383406090,<@730474953190932531>
109,769897208383406090,speak
110,769897208383406090,speak
111,356950275044671499,
112,491987020491784192,.shop 2
113,356950275044671499,"Congrats! You should have received the Regal Gold color role! If you didn't, please open a ModMail inquiry!"
114,730474953190932531,.buy regal gold
115,769897208383406090,`.buy regal gold`
116,730474953190932531,gold
117,356950275044671499,
118,491987020491784192,.bal
119,356950275044671499,
120,491987020491784192,. Cf 100000
121,356950275044671499,
122,491987020491784192,.buy chicken
123,769897208383406090,what one do you like <@730474953190932531>
124,356950275044671499,
125,491987020491784192,.cf 13000
126,356950275044671499,
127,491987020491784192,.buy chicken
128,730474953190932531,im now remember
129,356950275044671499,
130,491987020491784192,.buy cock
131,356950275044671499,
132,769897208383406090,.shop
133,356950275044671499,
134,491987020491784192,.cf 10000
135,730474953190932531,how
136,769897208383406090,pick a color
137,769897208383406090,<@730474953190932531>
138,356950275044671499,
139,491987020491784192,.cf 1000
140,356950275044671499,
141,491987020491784192,.buy chicken
142,356950275044671499,
143,491987020491784192,.cf 500
144,730474953190932531,what to do now
145,356950275044671499,
146,491987020491784192,.cf 400
147,356950275044671499,
148,491987020491784192,.cf 5000
149,356950275044671499,
150,491987020491784192,.cf 1000
151,356950275044671499,
152,769897208383406090,.cf
153,769897208383406090,pick one
154,491987020491784192,cock-fight 150000
155,769897208383406090,^ <@730474953190932531>
156,769897208383406090,out of them
157,356950275044671499,
158,491987020491784192,.buy chicken
159,730474953190932531,um
160,356950275044671499,
161,769897208383406090,.shop
162,356950275044671499,
163,769897208383406090,<@730474953190932531> what color do you what
164,491987020491784192,.bal
165,769897208383406090,oh
166,356950275044671499,
167,769897208383406090,.bal <@730474953190932531>
168,356950275044671499,
169,491987020491784192,.shop
170,356950275044671499,
171,491987020491784192,.crime
172,356950275044671499,
173,491987020491784192,.crime
174,730474953190932531,.bai
175,356950275044671499,
176,491987020491784192,.work
177,769897208383406090,do .bal
178,769897208383406090,yes
179,730474953190932531,hi
180,769897208383406090,<@730474953190932531>
181,769897208383406090,hello
182,356950275044671499,
183,661635445293187074,.bal
184,661635445293187074,*.bal
185,789658327348936744,Pog
186,356950275044671499,
187,789658327348936744,.bal
188,356950275044671499,
189,789658327348936744,.dep 800
190,433227255326572554,ok
191,433227255326572554,stand
192,356950275044671499,
193,433227255326572554,.bj all
194,433227255326572554,stand
195,433227255326572554,hit
196,356950275044671499,
197,433227255326572554,.bj all
198,433227255326572554,ok
199,356950275044671499,
200,433227255326572554,.crime
201,356950275044671499,
202,433227255326572554,.work
203,356950275044671499,
204,433227255326572554,.bal
205,356950275044671499,
206,789658327348936744,.bal
207,356950275044671499,
208,789658327348936744,.dep 100
209,356950275044671499,
210,789658327348936744,.bal
211,356950275044671499,
212,789658327348936744,.dep 28000
213,356950275044671499,
214,789658327348936744,.bal
215,356950275044671499,
216,746333686454026331,.lb
217,356950275044671499,
218,789658327348936744,. Bal
219,356950275044671499,
220,746333686454026331,".
Bal"
221,356950275044671499,
222,746333686454026331,.dep all
223,356950275044671499,
224,746333686454026331,.Work
225,789658327348936744,I code and I am happy.
226,789658327348936744,I have my Discord bot too.
227,789658327348936744,.
228,789658327348936744,I already did.
229,789658327348936744,I love those languages.
230,769897208383406090,add them
231,789658327348936744,Java or Javascript.
232,769897208383406090,<#789226686860230656> <@789658327348936744>
233,769897208383406090,about what
234,789658327348936744,<a:wobble:793215560938684478>
235,356950275044671499,
236,491987020491784192,.bal
237,789658327348936744,I am happy.
238,789658327348936744,With Unbelievabot.
239,789658327348936744,"Hey, I love the economy too."
240,789658327348936744,Or something.
241,789658327348936744,About JS.
242,789658327348936744,"And if anyone has questions, tell me."
243,356950275044671499,
244,491987020491784192,.shop 2
245,356950275044671499,
246,491987020491784192,.shop
247,789658327348936744,I think this is just an awesome server.
248,789658327348936744,I have my own Discord bot too.
249,485573662334779405,:D
250,485573662334779405,great for you
251,789658327348936744,I love those languages.
252,789658327348936744,Yay!
253,789658327348936744,I got the Java and Javascript roles!
254,789658327348936744,Yay!
255,485573662334779405,hi tob
256,788182739064324096,
257,373069496681758720,p!inviteinfo
258,789658327348936744,I checked out more info.
259,485573662334779405,got it
260,789658327348936744,Wow! I love it so much here.
261,485573662334779405,oh so you were just slow
262,270904126974590976,
263,485573662334779405,<@!270904126974590976>
264,485573662334779405,pls bal
265,356950275044671499,
266,746333686454026331,.bal
267,356950275044671499,
268,746333686454026331,.dep all
269,356950275044671499,
270,746333686454026331,.work
271,356950275044671499,
272,746333686454026331,.lb
273,356950275044671499,
274,746333686454026331,.bal
275,356950275044671499,
276,746333686454026331,.dep all
277,356950275044671499,
278,746333686454026331,.Work
279,433227255326572554,no shit 👀
280,433227255326572554,i actually trusted you
281,746333686454026331,It was stand
282,433227255326572554,ok
283,433227255326572554,wow
284,746333686454026331,Tricked you
285,746333686454026331,HAHAHAHAHAHAHAHAGA
286,433227255326572554,i
287,433227255326572554,hit
288,746333686454026331,Hit
289,433227255326572554,these ones are weird
290,433227255326572554,lmao
291,433227255326572554,i dont know anymore
292,356950275044671499,
293,433227255326572554,.bj all
294,356950275044671499,
295,485573662334779405,.bal
296,356950275044671499,
297,433227255326572554,.bj all
298,356950275044671499,
299,433227255326572554,.bal
300,356950275044671499,
301,433227255326572554,.work
302,779756976174530581,
303,433227255326572554,+coin
304,356950275044671499,
305,579698015502204947,.bal
306,579698015502204947,It makes no sense
307,579698015502204947,Coding is math with letters
308,789658327348936744,I love coding too.
309,356950275044671499,"The ball landed on: **red 12**!

**Winners:**
<@!579698015502204947> won <:md:785280283845853213>40000"
310,356950275044671499,
311,579698015502204947,.roulette 20000 even
312,356950275044671499,
313,579698015502204947,.work
314,356950275044671499,
315,746031895879352330,.give <@730474953190932531> 10000
316,356950275044671499,
317,579698015502204947,.work
318,789658327348936744,And I love Dveelopment too.
319,769897208383406090,ok
320,789658327348936744,I am thinking I really like this server.
321,789658327348936744,What are our bots?
322,789658327348936744,.av
323,356950275044671499,
324,746333686454026331,.bal
325,356950275044671499,
326,746333686454026331,.dep all
327,356950275044671499,
328,746333686454026331,.work
329,356950275044671499,
330,789658327348936744,.work
331,769897208383406090,hello
332,769897208383406090,<@730474953190932531>
333,356950275044671499,
334,579698015502204947,.work
335,356950275044671499,
336,789658327348936744,.work
337,356950275044671499,
338,485932072540569601,.bal
339,270904126974590976,
340,579698015502204947,Pls bal
341,356950275044671499,
342,769897208383406090,.give <@!485932072540569601> 10000
343,270904126974590976,"<@769897208383406090> You only have ⏣ 6,046, you can't share that many"
344,769897208383406090,pls give <@!485932072540569601> 10000
345,356950275044671499,
346,579698015502204947,.shop 2
347,356950275044671499,
348,579698015502204947,.bal
349,356950275044671499,"The ball landed on: **red 5**!

**Winners:**
<@!579698015502204947> won <:md:785280283845853213>160000"
350,356950275044671499,
351,789658327348936744,.bal
352,356950275044671499,
353,579698015502204947,.roulette 80000 red
354,789658327348936744,I WON
355,789658327348936744,Yay!
356,579698015502204947,Wo
357,356950275044671499,"The ball landed on: **black 6**!

**Winners:**
<@!789658327348936744> won <:md:785280283845853213>2000"
358,356950275044671499,
359,661635445293187074,.bal
360,356950275044671499,
361,661635445293187074,.dep all
362,356950275044671499,
363,661635445293187074,.bj all
364,356950275044671499,
365,661635445293187074,.with 100000
366,356950275044671499,
367,579698015502204947,.roulette 40000 red
368,661635445293187074,hit
