Message,UID,Channel,Category
🇳 🇮 🇬 🇬 🇪 🇷,507627708897951764,#community,identity_hate
Bruh stop that gay shit,385680099845865485,#community,identity_hate
Dude imagine being that fucking gay,385680099845865486,#gta-online,identity_hate
Dumb n I g g a,541424853618655238,#cayo-perico-lfg-playstation,identity_hate
fat ass nigger fuck,660213269406941214,#casino-lfg-playstation,identity_hate
fuck niggers,711316656814817352,#apartment-heist-lfg-xbox,identity_hate
fuck weebs kill all weebs,507915709104390155,#anime,identity_hate
Fucking assholes is gay,304085355093688322,#gta-online,identity_hate
Gay ass,623288371825082383,#community,identity_hate
Gay bitch,669017405711974423,#community,identity_hate
gay shit,618716255658180608,#gta-online,identity_hate
"get a knife, go ghost and go British on his ass",263711134878531588,#gta-online,identity_hate
i hate gays  i  hate gays i  hate gays  ban me bitch,756650911102795856,#gta-online,identity_hate
idc ur black kill urself dumbass,689815372932579330,#gta-online,identity_hate
nig,617316528257499136,#gta-cayo-perico,identity_hate
nig,742921372061139007,#gta-online,identity_hate
NiggaNiggaNigga,758763344457891871,#transporation,identity_hate
nigger,474997780251934730,#community,identity_hate
NIGGER,713031035473887312,#community,identity_hate
nigger,453528574981439489,#community,identity_hate
nigger i will put my knee on u face,777217462478962691,#gta-online,identity_hate
NIGGER\\\,700521482115350548,#gta-online,identity_hate
niggera,608364791542710272,#gta-vehicles,identity_hate
Ok gay fuck,385680099845865485,#gta-online,identity_hate
Plus stfu dumb ass nigga,541424853618655235,#cayo-perico-lfg-playstation,identity_hate
Shut up gayass,385680099845865488,#gta-online,identity_hate
shut up stupid ass nigga,806831306679123970,#gta-questions,identity_hate
STFU NIGGERRA,471416268973408258,#gta-online,identity_hate
Straight ass gays and homosex in there,385680099845865484,#gta-online,identity_hate
suck it niga,793239376523952142,#gta-online,identity_hate
that shit= gay,486289015247732776,#gta-online,identity_hate
The bot didn't do its nerd ass gay shit,744517089473200191,#community,identity_hate
they look dumb and gay,405955925569175553,#gta-online,identity_hate
u stfu gay ass u was asking for money u broke ass,752016092523659328,#doomsday-lfg-playstation,identity_hate
yo ppl dont use mk II or yall fucking homosexual people,620783392291815428,#gta-online,identity_hate
you shut up gay man,720429328906715238,#gta-online,identity_hate
you're spitting on the gays that fought for your rights bitch come on,368105478875774977,#community,identity_hate
Your a fat gay queer canadian cunt,806545095649132547,#gta-online,identity_hate
Your gay kys,725650649110413314,#gta-online,identity_hate
Dude imagine being that fucking gay,385680099845865484,#gta-online,insult
Dumb n I g g a,541424853618655237,#cayo-perico-lfg-playstation,insult
fat ass nigger fuck,660213269406941212,#casino-lfg-playstation,insult
fuck all of u pussies,805803194550190111,#gta-online,insult
fuck niggers,711316656814817351,#apartment-heist-lfg-xbox,insult
Fuck off I hate you I stg,332199765918089218,#community,insult
Gay ass,623288371825082384,#community,insult
"get a knife, go ghost and go British on his ass",263711134878531587,#gta-online,insult
How bout you go suck my dick with ya mothers lips and die,524397492230422570,#gta-online,insult
I hope the mods choke on piss and cum and die,786273583172550659,#gta-online,insult
i wil kil ur fat ass mum,456136031243337741,#gta-online,insult
i will fuck all of ur mums till they choke on my fat sosig,700254785122598925,#community,insult
idc ur black kill urself dumbass,689815372932579329,#gta-online,insult
NiggaNiggaNigga,758763344457891872,#transporation,insult
nigger i will put my knee on u face,777217462478962690,#gta-online,insult
Now go FACK yoself and die in a dirty little hole where you crawled from,804843357930389505,#gta-online,insult
Ok gay fuck,385680099845865484,#gta-online,insult
Plus stfu dumb ass nigga,541424853618655234,#cayo-perico-lfg-playstation,insult
Shut up gayass,385680099845865486,#gta-online,insult
STFU NIGGERRA,471416268973408257,#gta-online,insult
suck it niga,793239376523952140,#gta-online,insult
Suck my dic n die bro,524397492230422571,#gta-online,insult
